date_key,year,quarter,quarter_name,month,month_name,year_month,year_quarter,week_of_year,day_of_week,is_weekend,is_month_end
2018-03-04,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,9,6,1,0
2018-03-05,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,10,0,0,0
2018-03-06,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,10,1,0,0
2018-03-07,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,10,2,0,0
2018-03-08,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,10,3,0,0
2018-03-09,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,10,4,0,0
2018-03-10,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,10,5,1,0
2018-03-11,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,10,6,1,0
2018-03-12,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,11,0,0,0
2018-03-13,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,11,1,0,0
2018-03-14,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,11,2,0,0
2018-03-15,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,11,3,0,0
2018-03-16,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,11,4,0,0
2018-03-17,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,11,5,1,0
2018-03-18,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,11,6,1,0
2018-03-19,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,12,0,0,0
2018-03-20,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,12,1,0,0
2018-03-21,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,12,2,0,0
2018-03-22,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,12,3,0,0
2018-03-23,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,12,4,0,0
2018-03-24,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,12,5,1,0
2018-03-25,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,12,6,1,0
2018-03-26,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,13,0,0,0
2018-03-27,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,13,1,0,0
2018-03-28,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,13,2,0,0
2018-03-29,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,13,3,0,0
2018-03-30,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,13,4,0,0
2018-03-31,2018,1,Q1,3,Tháng 3,2018-03,2018Q1,13,5,1,1
2018-04-01,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,13,6,1,0
2018-04-02,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,14,0,0,0
2018-04-03,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,14,1,0,0
2018-04-04,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,14,2,0,0
2018-04-05,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,14,3,0,0
2018-04-06,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,14,4,0,0
2018-04-07,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,14,5,1,0
2018-04-08,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,14,6,1,0
2018-04-09,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,15,0,0,0
2018-04-10,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,15,1,0,0
2018-04-11,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,15,2,0,0
2018-04-12,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,15,3,0,0
2018-04-13,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,15,4,0,0
2018-04-14,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,15,5,1,0
2018-04-15,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,15,6,1,0
2018-04-16,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,16,0,0,0
2018-04-17,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,16,1,0,0
2018-04-18,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,16,2,0,0
2018-04-19,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,16,3,0,0
2018-04-20,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,16,4,0,0
2018-04-21,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,16,5,1,0
2018-04-22,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,16,6,1,0
2018-04-23,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,17,0,0,0
2018-04-24,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,17,1,0,0
2018-04-25,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,17,2,0,0
2018-04-26,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,17,3,0,0
2018-04-27,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,17,4,0,0
2018-04-28,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,17,5,1,0
2018-04-29,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,17,6,1,0
2018-04-30,2018,2,Q2,4,Tháng 4,2018-04,2018Q2,18,0,0,1
2018-05-01,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,18,1,0,0
2018-05-02,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,18,2,0,0
2018-05-03,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,18,3,0,0
2018-05-04,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,18,4,0,0
2018-05-05,2018,2,Q2,5,Tháng 5,2018-05,2018Q2,18,5,1,0
